Train step=10900, Max Q=7.130204677581787, Max target Q=7.161181449890137, Loss = 0.006882901303470135
Train step=11000, Max Q=7.0077314376831055, Max target Q=7.19282341003418, Loss = 0.010830119252204895
Train step=11100, Max Q=7.078169345855713, Max target Q=6.986425399780273, Loss = 0.009506569243967533
Train step=11200, Max Q=6.90831184387207, Max target Q=7.42241096496582, Loss = 0.03287728503346443
Train step=11300, Max Q=7.714442729949951, Max target Q=7.8293585777282715, Loss = 0.03332110866904259
Train step=11400, Max Q=6.935066223144531, Max target Q=7.00772762298584, Loss = 0.007882455363869667
Train step=11500, Max Q=7.0075883865356445, Max target Q=7.11173152923584, Loss = 0.028217162936925888
Train step=11600, Max Q=6.970099449157715, Max target Q=6.957747459411621, Loss = 0.023453839123249054
Train step=11700, Max Q=6.965375900268555, Max target Q=7.242751598358154, Loss = 0.011813011951744556
Train step=11800, Max Q=7.253364086151123, Max target Q=7.63289737701416, Loss = 0.02106192335486412
Train step=11900, Max Q=6.854604721069336, Max target Q=6.958386421203613, Loss = 0.02234974130988121
Train step=12000, Max Q=6.900022029876709, Max target Q=6.892230987548828, Loss = 0.0032186913304030895
Train step=12100, Max Q=7.098308563232422, Max target Q=7.135827541351318, Loss = 0.03262869268655777
Train step=12200, Max Q=7.130175590515137, Max target Q=7.163347244262695, Loss = 0.009505474008619785
Train step=12300, Max Q=6.788229942321777, Max target Q=7.129395484924316, Loss = 0.01174471527338028
Train step=12400, Max Q=9.00055980682373, Max target Q=8.93115234375, Loss = 0.03011290356516838
Train step=12500, Max Q=6.894520282745361, Max target Q=6.909377574920654, Loss = 0.04325972497463226
Train step=12600, Max Q=7.046919822692871, Max target Q=7.071156978607178, Loss = 0.009096227586269379
Train step=12700, Max Q=6.7944655418396, Max target Q=7.304597854614258, Loss = 0.004962090868502855
Train step=12800, Max Q=7.748526096343994, Max target Q=8.281901359558105, Loss = 0.005709972232580185
Train step=12900, Max Q=7.058923721313477, Max target Q=6.970163822174072, Loss = 0.02408706024289131
Train step=13000, Max Q=6.740338325500488, Max target Q=6.788320064544678, Loss = 0.015262787230312824
Train step=13100, Max Q=6.812103271484375, Max target Q=6.853425025939941, Loss = 0.0073787919245660305
Train step=13200, Max Q=6.743473052978516, Max target Q=6.830034255981445, Loss = 0.01166409533470869
Train step=13300, Max Q=6.863252639770508, Max target Q=7.190962314605713, Loss = 0.005587884224951267
Train step=13400, Max Q=6.684577941894531, Max target Q=6.730017185211182, Loss = 0.00821535661816597
Train step=13500, Max Q=6.662103652954102, Max target Q=6.899077415466309, Loss = 0.013507813215255737
Train step=13600, Max Q=7.142453193664551, Max target Q=7.280966758728027, Loss = 0.016078144311904907
Train step=13700, Max Q=7.174614906311035, Max target Q=7.125759601593018, Loss = 0.013591582886874676
Train step=13800, Max Q=6.728874683380127, Max target Q=6.7600603103637695, Loss = 0.011510989628732204
Train step=13900, Max Q=7.1710896492004395, Max target Q=7.280862331390381, Loss = 0.004085495136678219
Train step=14000, Max Q=7.276177883148193, Max target Q=6.952455043792725, Loss = 0.007570213638246059
Train step=14100, Max Q=6.4548492431640625, Max target Q=6.787446022033691, Loss = 0.005351134575903416
Train step=14200, Max Q=7.093335151672363, Max target Q=7.131387233734131, Loss = 0.028722358867526054
Train step=14300, Max Q=7.4986042976379395, Max target Q=7.483430862426758, Loss = 0.011340619996190071
Train step=14400, Max Q=6.546210289001465, Max target Q=6.610208034515381, Loss = 0.03220783546566963
Train step=14500, Max Q=6.544591426849365, Max target Q=6.7905659675598145, Loss = 0.004010086879134178
Train step=14600, Max Q=7.9690141677856445, Max target Q=8.023022651672363, Loss = 0.013283232226967812
Train step=14700, Max Q=6.525457382202148, Max target Q=6.553343772888184, Loss = 0.013002199120819569
Train step=14800, Max Q=9.043728828430176, Max target Q=8.986122131347656, Loss = 0.038784209638834
Train step=14900, Max Q=6.440943717956543, Max target Q=6.580829620361328, Loss = 0.010839835740625858
Train step=15000, Max Q=10.047351837158203, Max target Q=10.548995018005371, Loss = 0.012698950245976448
Train step=15100, Max Q=6.456602573394775, Max target Q=6.472022533416748, Loss = 0.003057457972317934
Train step=15200, Max Q=6.6214752197265625, Max target Q=6.761630535125732, Loss = 0.006881275679916143
Train step=15300, Max Q=7.243864059448242, Max target Q=7.137731075286865, Loss = 0.012974178418517113
Train step=15400, Max Q=7.463521480560303, Max target Q=7.317011833190918, Loss = 0.008830095641314983
Train step=15500, Max Q=7.371184825897217, Max target Q=7.4142961502075195, Loss = 0.01152294036000967
Train step=15600, Max Q=6.6804304122924805, Max target Q=6.631502151489258, Loss = 0.0067725880071520805
Train step=15700, Max Q=7.155038356781006, Max target Q=7.437820911407471, Loss = 0.011284349486231804
Train step=15800, Max Q=6.218799114227295, Max target Q=6.370570182800293, Loss = 0.004427117761224508
Train step=15900, Max Q=7.298004150390625, Max target Q=7.337095260620117, Loss = 0.006135066505521536
Train step=16000, Max Q=6.8027424812316895, Max target Q=7.032196998596191, Loss = 0.010854970663785934
Train step=16100, Max Q=6.639636039733887, Max target Q=6.835381031036377, Loss = 0.004711543209850788
Train step=16200, Max Q=7.571331977844238, Max target Q=7.870467662811279, Loss = 0.010561174713075161
Train step=16300, Max Q=6.1346635818481445, Max target Q=7.115880489349365, Loss = 0.012117407284677029
Train step=16400, Max Q=7.374792575836182, Max target Q=7.845476150512695, Loss = 0.004151392728090286
Train step=16500, Max Q=7.638860702514648, Max target Q=7.512941360473633, Loss = 0.005173360463231802
Train step=16600, Max Q=7.032906532287598, Max target Q=7.110804080963135, Loss = 0.0027590878307819366
Train step=16700, Max Q=7.196966171264648, Max target Q=7.387143135070801, Loss = 0.0042746709659695625
Train step=16800, Max Q=7.7524847984313965, Max target Q=7.718103408813477, Loss = 0.02353479340672493
Train step=16900, Max Q=6.781686305999756, Max target Q=7.167211055755615, Loss = 0.020885556936264038
Train step=17000, Max Q=7.30683708190918, Max target Q=7.276590824127197, Loss = 0.005901114549487829
Train step=17100, Max Q=7.3158721923828125, Max target Q=7.590669631958008, Loss = 0.01005270704627037
Train step=17200, Max Q=7.632729530334473, Max target Q=7.579258441925049, Loss = 0.015970539301633835
Train step=17300, Max Q=7.650060176849365, Max target Q=7.628913402557373, Loss = 0.002995380898937583
Train step=17400, Max Q=7.305548191070557, Max target Q=7.402067184448242, Loss = 0.0034337479155510664
Train step=17500, Max Q=6.455844402313232, Max target Q=7.029794216156006, Loss = 0.016337065026164055
Train step=17600, Max Q=6.979118824005127, Max target Q=7.272819995880127, Loss = 0.016239305958151817
Train step=17700, Max Q=7.526430606842041, Max target Q=7.202198028564453, Loss = 0.011667273938655853
Train step=17800, Max Q=10.200776100158691, Max target Q=10.13039493560791, Loss = 0.008655475452542305
Train step=17900, Max Q=7.469845294952393, Max target Q=7.451155185699463, Loss = 0.005584769882261753
Train step=18000, Max Q=6.869165420532227, Max target Q=7.375139236450195, Loss = 0.0034242146648466587
Train step=18100, Max Q=7.421882152557373, Max target Q=7.515000343322754, Loss = 0.005830361973494291
Train step=18200, Max Q=7.124279022216797, Max target Q=7.290440082550049, Loss = 0.014617688953876495
Train step=18300, Max Q=10.949895858764648, Max target Q=11.959474563598633, Loss = 0.04972104728221893
Train step=18400, Max Q=9.483774185180664, Max target Q=9.0791597366333, Loss = 0.023634012788534164
Train step=18500, Max Q=5.892899036407471, Max target Q=6.286169528961182, Loss = 0.026856718584895134
Train step=18600, Max Q=6.679699897766113, Max target Q=7.030601978302002, Loss = 0.02884410321712494
Train step=18700, Max Q=7.053574085235596, Max target Q=7.140353202819824, Loss = 0.021699992939829826
Train step=18800, Max Q=6.956343173980713, Max target Q=7.239874839782715, Loss = 0.006384026259183884
Train step=18900, Max Q=7.102697372436523, Max target Q=7.2320709228515625, Loss = 0.012259495444595814
Train step=19000, Max Q=6.970925331115723, Max target Q=8.156466484069824, Loss = 0.009698242880403996
Train step=19100, Max Q=7.208937168121338, Max target Q=7.289713382720947, Loss = 0.009976675733923912
Train step=19200, Max Q=7.717465400695801, Max target Q=8.164856910705566, Loss = 0.009816781617701054
Train step=19300, Max Q=7.5383758544921875, Max target Q=7.428033828735352, Loss = 0.011947805061936378
Train step=19400, Max Q=7.090717315673828, Max target Q=7.09005069732666, Loss = 0.010766198858618736
Train step=19500, Max Q=5.814114093780518, Max target Q=5.851546764373779, Loss = 0.011353038251399994
Train step=19600, Max Q=6.6099958419799805, Max target Q=6.574096202850342, Loss = 0.0023959921672940254
Train step=19700, Max Q=9.842551231384277, Max target Q=9.625777244567871, Loss = 0.009514562785625458
Train step=19800, Max Q=7.039319038391113, Max target Q=7.425991535186768, Loss = 0.010665067471563816
Train step=19900, Max Q=6.342748165130615, Max target Q=6.499911785125732, Loss = 0.007137643173336983
Train step=20000, Max Q=7.1581573486328125, Max target Q=7.228673458099365, Loss = 0.008985243737697601
Train step=20100, Max Q=7.203505992889404, Max target Q=7.169785022735596, Loss = 0.0037758732214570045
Train step=20200, Max Q=8.3850679397583, Max target Q=8.601093292236328, Loss = 0.0195915549993515
Train step=20300, Max Q=6.766114234924316, Max target Q=6.695711135864258, Loss = 0.028149234130978584
Train step=20400, Max Q=7.116865158081055, Max target Q=7.254820823669434, Loss = 0.039329323917627335
Train step=20500, Max Q=5.77036714553833, Max target Q=5.907811641693115, Loss = 0.006076017394661903
Train step=20600, Max Q=6.959606647491455, Max target Q=7.111339569091797, Loss = 0.020353488624095917
Train step=20700, Max Q=6.59568452835083, Max target Q=6.697948455810547, Loss = 0.00443493016064167
Train step=20800, Max Q=9.443994522094727, Max target Q=9.561997413635254, Loss = 0.01333493273705244
Train step=20900, Max Q=7.541383266448975, Max target Q=8.094291687011719, Loss = 0.012085815891623497
Train step=21000, Max Q=7.077859401702881, Max target Q=7.204891681671143, Loss = 0.0038216719403862953
Train step=21100, Max Q=7.335132598876953, Max target Q=7.585535049438477, Loss = 0.004604452755302191
Train step=21200, Max Q=5.662324905395508, Max target Q=5.725893497467041, Loss = 0.009642538614571095
Train step=21300, Max Q=7.0537190437316895, Max target Q=7.0558648109436035, Loss = 0.004485365003347397
Train step=21400, Max Q=7.369314193725586, Max target Q=7.181031227111816, Loss = 0.004593546036630869
Train step=21500, Max Q=5.49600076675415, Max target Q=5.546773433685303, Loss = 0.0031454116106033325
Train step=21600, Max Q=7.673834323883057, Max target Q=8.246509552001953, Loss = 0.01076370570808649
Train step=21700, Max Q=12.236903190612793, Max target Q=12.951379776000977, Loss = 0.05169300734996796
Train step=21800, Max Q=7.611474990844727, Max target Q=8.02918815612793, Loss = 0.003155837766826153
Train step=21900, Max Q=7.437833786010742, Max target Q=7.518830299377441, Loss = 0.006780464202165604
