Train step=11400, hour=14, Loss = 0.0002864290727302432
Train step=11500, hour=16, Loss = 8.7010312199709e-06
Train step=11600, hour=16, Loss = 7.1080521593103185e-06
Train step=11700, hour=17, Loss = 0.0003144294605590403
Train step=11800, hour=17, Loss = 9.267994755646214e-06
Train step=11900, hour=17, Loss = 7.203370387287578e-06
Train step=12000, hour=17, Loss = 6.877163741592085e-06
Train step=12100, hour=17, Loss = 6.48744753561914e-06
Train step=12200, hour=17, Loss = 7.6191149673832115e-06
Train step=12300, hour=17, Loss = 6.553442290169187e-06
Train step=12400, hour=17, Loss = 6.617799954256043e-06
Train step=12500, hour=17, Loss = 6.516855592053616e-06
Train step=12600, hour=17, Loss = 6.542612936755177e-06
Train step=12700, hour=18, Loss = 0.00014276299043558538
Train step=12800, hour=18, Loss = 2.1231720893410966e-05
Train step=12900, hour=18, Loss = 1.2397593309287913e-05
Train step=13000, hour=18, Loss = 7.64012111176271e-06
Train step=13100, hour=18, Loss = 7.3819401222863235e-06
Train step=13200, hour=18, Loss = 9.207862603943795e-06
Train step=13300, hour=19, Loss = 1.1108470062026754e-05
Train step=13400, hour=20, Loss = 0.017433762550354004
Train step=13500, hour=20, Loss = 8.655722922412679e-06
Train step=13600, hour=20, Loss = 8.335826350958087e-06
Train step=13700, hour=21, Loss = 2.5596595151000656e-05
Train step=13800, hour=21, Loss = 1.3957582268631086e-05
Train step=13900, hour=21, Loss = 1.1182397429365665e-05
Train step=14000, hour=21, Loss = 8.537138455722015e-06
Train step=14100, hour=21, Loss = 1.0636427759891376e-05
Train step=14200, hour=21, Loss = 9.29306224861648e-06
Train step=14300, hour=21, Loss = 8.59325700730551e-06
Train step=14400, hour=21, Loss = 1.1478578926471528e-05
Train step=14500, hour=21, Loss = 9.520237654214725e-06
Train step=14600, hour=22, Loss = 1.249679371539969e-05
Train step=14700, hour=22, Loss = 7.81461494625546e-06
Train step=14800, hour=22, Loss = 7.869834007578902e-06
Train step=14900, hour=23, Loss = 0.00042255144217051566
Train step=15000, hour=23, Loss = 1.7033402400556952e-05
