Train step=100, hour=0, Loss = 3.5073251638095826e-05
Train step=200, hour=0, Loss = 2.280140142829623e-05
Train step=300, hour=0, Loss = 1.627516030566767e-05
Train step=400, hour=0, Loss = 1.7650998415774666e-05
Train step=500, hour=0, Loss = 1.2653672456508502e-05
Train step=600, hour=0, Loss = 1.365433581668185e-05
Train step=700, hour=0, Loss = 1.2023890121781733e-05
Train step=800, hour=0, Loss = 1.0721881153585855e-05
Train step=900, hour=0, Loss = 9.945280908141285e-06
Train step=1000, hour=0, Loss = 1.0582869435893372e-05
Train step=1100, hour=0, Loss = 1.037369202094851e-05
Train step=1200, hour=0, Loss = 8.528981197741814e-06
Train step=1300, hour=0, Loss = 8.80222341947956e-06
Train step=1400, hour=0, Loss = 1.0363742148911115e-05
Train step=1500, hour=0, Loss = 9.21681203180924e-06
Train step=1600, hour=0, Loss = 1.2987082300242037e-05
Train step=1700, hour=0, Loss = 1.172724660136737e-05
Train step=1800, hour=0, Loss = 1.2572718333103694e-05
Train step=1900, hour=1, Loss = 4.648412868846208e-05
Train step=2000, hour=1, Loss = 2.067953573714476e-05
Train step=2100, hour=1, Loss = 1.584084748174064e-05
Train step=2200, hour=1, Loss = 1.2454638635972515e-05
Train step=2300, hour=1, Loss = 1.3616747310152277e-05
Train step=2400, hour=1, Loss = 1.3412879525276367e-05
Train step=2500, hour=1, Loss = 1.1316154086671304e-05
Train step=2600, hour=1, Loss = 9.616296665626578e-06
Train step=2700, hour=1, Loss = 9.729790690471418e-06
Train step=2800, hour=1, Loss = 9.320823664893396e-06
Train step=2900, hour=1, Loss = 7.637752787559293e-06
Train step=3000, hour=1, Loss = 7.521743100369349e-06
Train step=3100, hour=1, Loss = 9.529117050988134e-06
Train step=3200, hour=1, Loss = 7.514400749641936e-06
Train step=3300, hour=1, Loss = 7.495643330912571e-06
Train step=3400, hour=1, Loss = 9.103952834266238e-06
Train step=3500, hour=1, Loss = 8.136845281114802e-06
Train step=3600, hour=1, Loss = 8.955768862506375e-06
Train step=3700, hour=1, Loss = 1.3486817806551699e-05
Train step=3800, hour=1, Loss = 7.204366283986019e-06
Train step=3900, hour=2, Loss = 0.00014879631635267287
Train step=4000, hour=2, Loss = 7.345961057581007e-05
Train step=4100, hour=2, Loss = 3.7085977965034544e-05
Train step=4200, hour=2, Loss = 4.6976838348200545e-05
Train step=4300, hour=2, Loss = 2.6457048079464585e-05
Train step=4400, hour=2, Loss = 2.1088810171931982e-05
Train step=4500, hour=2, Loss = 1.4715015822730493e-05
Train step=4600, hour=2, Loss = 1.1932051165786106e-05
Train step=4700, hour=2, Loss = 1.4230970919015817e-05
Train step=4800, hour=2, Loss = 1.0836046385520604e-05
Train step=4900, hour=2, Loss = 1.069856807589531e-05
Train step=5000, hour=2, Loss = 9.241634870704729e-06
Train step=5100, hour=2, Loss = 8.467837687931024e-06
Train step=5200, hour=2, Loss = 9.406109711562749e-06
Train step=5300, hour=2, Loss = 9.17524448595941e-06
Train step=5400, hour=2, Loss = 7.770895535941236e-06
Train step=5500, hour=2, Loss = 9.178202162729576e-06
Train step=5600, hour=2, Loss = 7.923844350443687e-06
Train step=5700, hour=2, Loss = 8.400929800700396e-06
Train step=5800, hour=2, Loss = 1.0080850188387558e-05
