Train step=11400, hour=3, Loss = 7.896363058534916e-06
Train step=11500, hour=3, Loss = 7.0807518568472005e-06
Train step=11600, hour=3, Loss = 7.96459789853543e-06
Train step=11700, hour=3, Loss = 1.2421598512446508e-05
Train step=11800, hour=3, Loss = 7.635547262907494e-06
Train step=11900, hour=3, Loss = 1.1587500921450555e-05
Train step=12000, hour=3, Loss = 7.1908943937160075e-06
Train step=12100, hour=4, Loss = 0.024008534848690033
Train step=12200, hour=4, Loss = 8.441375393886119e-05
Train step=12300, hour=4, Loss = 2.855894126696512e-05
Train step=12400, hour=4, Loss = 1.7562313587404788e-05
Train step=12500, hour=4, Loss = 1.7077763914130628e-05
Train step=12600, hour=4, Loss = 1.2076278835593257e-05
Train step=12700, hour=4, Loss = 1.6955877072177827e-05
Train step=12800, hour=4, Loss = 1.2614551451406442e-05
Train step=12900, hour=4, Loss = 8.66783557285089e-06
Train step=13000, hour=4, Loss = 9.409864105691668e-06
Train step=13100, hour=4, Loss = 1.0568142897682264e-05
Train step=13200, hour=4, Loss = 9.676304216554854e-06
Train step=13300, hour=4, Loss = 9.48910201259423e-06
Train step=13400, hour=4, Loss = 9.022299309435766e-06
Train step=13500, hour=4, Loss = 7.94402694737073e-06
Train step=13600, hour=4, Loss = 1.003484612738248e-05
Train step=13700, hour=4, Loss = 8.971087481768336e-06
Train step=13800, hour=4, Loss = 9.938241419149563e-06
Train step=13900, hour=4, Loss = 1.1108757462352514e-05
Train step=14000, hour=4, Loss = 8.527556019544136e-06
Train step=14100, hour=4, Loss = 8.023336704354733e-06
Train step=14200, hour=4, Loss = 1.2746389984386042e-05
Train step=14300, hour=4, Loss = 1.5663879821659066e-05
Train step=14400, hour=4, Loss = 7.687655852350872e-06
Train step=14500, hour=4, Loss = 8.395662007387727e-06
Train step=14600, hour=4, Loss = 9.60858233156614e-06
Train step=14700, hour=4, Loss = 7.902307515905704e-06
Train step=14800, hour=4, Loss = 2.034615317825228e-05
Train step=14900, hour=4, Loss = 8.36772596812807e-06
Train step=15000, hour=4, Loss = 1.1433861800469458e-05
Train step=15100, hour=4, Loss = 9.016275726025924e-06
Train step=15200, hour=4, Loss = 7.952980922709685e-06
Train step=15300, hour=4, Loss = 9.810471965465695e-06
Train step=15400, hour=4, Loss = 1.6264148143818602e-05
Train step=15500, hour=5, Loss = 2.8321655918261968e-05
Train step=15600, hour=5, Loss = 1.800065001589246e-05
Train step=15700, hour=5, Loss = 2.02939918381162e-05
Train step=15800, hour=5, Loss = 9.102421245188452e-06
Train step=15900, hour=5, Loss = 1.0183241101913154e-05
Train step=16000, hour=5, Loss = 9.287899047194514e-06
Train step=16100, hour=5, Loss = 8.098630132735707e-06
Train step=16200, hour=5, Loss = 8.180090844689403e-06
Train step=16300, hour=5, Loss = 8.504785000695847e-06
Train step=16400, hour=5, Loss = 7.830711183487438e-06
Train step=16500, hour=5, Loss = 7.461942914233077e-06
Train step=16600, hour=5, Loss = 7.087904123181943e-06
Train step=16700, hour=5, Loss = 7.4209756348864175e-06
Train step=16800, hour=5, Loss = 6.979412319196854e-06
Train step=16900, hour=5, Loss = 7.957842171890661e-06
Train step=17000, hour=5, Loss = 7.009735782048665e-06
Train step=17100, hour=5, Loss = 7.030487722659018e-06
Train step=17200, hour=5, Loss = 6.765884791093413e-06
Train step=17300, hour=5, Loss = 6.750270131306024e-06
Train step=17400, hour=5, Loss = 7.134492079785559e-06
Train step=17500, hour=5, Loss = 7.0021033025113866e-06
Train step=17600, hour=5, Loss = 7.597077001264552e-06
Train step=17700, hour=5, Loss = 7.656338311790023e-06
Train step=17800, hour=5, Loss = 6.765752914361656e-06
Train step=17900, hour=5, Loss = 6.915518952155253e-06
Train step=18000, hour=5, Loss = 8.315049853990786e-06
Train step=18100, hour=5, Loss = 7.17045804776717e-06
Train step=18200, hour=5, Loss = 1.3191332982387394e-05
Train step=18300, hour=5, Loss = 6.831910013715969e-06
Train step=18400, hour=5, Loss = 9.391113053425215e-06
Train step=18500, hour=5, Loss = 1.9295039237476885e-05
Train step=18600, hour=5, Loss = 1.1324971637804992e-05
Train step=18700, hour=5, Loss = 7.024487786111422e-06
Train step=18800, hour=6, Loss = 1.1351565262884833e-05
Train step=18900, hour=6, Loss = 8.899005479179323e-06
Train step=19000, hour=6, Loss = 7.972474122652784e-06
Train step=19100, hour=6, Loss = 7.193308192654513e-06
Train step=19200, hour=6, Loss = 6.937757461855654e-06
Train step=19300, hour=6, Loss = 7.384614036709536e-06
Train step=19400, hour=6, Loss = 6.755679351044819e-06
Train step=19500, hour=6, Loss = 6.922035026946105e-06
Train step=19600, hour=6, Loss = 6.618884981435258e-06
Train step=19700, hour=6, Loss = 6.5509202613611706e-06
Train step=19800, hour=6, Loss = 6.606740498682484e-06
Train step=19900, hour=6, Loss = 7.74913678469602e-06
Train step=20000, hour=6, Loss = 6.539652986248257e-06
Train step=20100, hour=6, Loss = 6.787784514017403e-06
Train step=20200, hour=6, Loss = 6.973347808525432e-06
Train step=20300, hour=6, Loss = 1.1026064385077916e-05
Train step=20400, hour=6, Loss = 7.001629455771763e-06
Train step=20500, hour=6, Loss = 7.26676671547466e-06
Train step=20600, hour=6, Loss = 1.1517410712258425e-05
Train step=20700, hour=6, Loss = 7.167892363213468e-06
Train step=20800, hour=6, Loss = 8.025490387808532e-06
Train step=20900, hour=6, Loss = 6.800657502026297e-06
Train step=21000, hour=6, Loss = 1.579913259774912e-05
Train step=21100, hour=6, Loss = 6.856347681605257e-06
Train step=21200, hour=6, Loss = 7.659398761461489e-06
Train step=21300, hour=6, Loss = 1.7898402802529745e-05
Train step=21400, hour=6, Loss = 1.0043188922281843e-05
Train step=21500, hour=6, Loss = 1.4756578821106814e-05
Train step=21600, hour=6, Loss = 8.28569318400696e-06
Train step=21700, hour=6, Loss = 1.9549184798961505e-05
Train step=21800, hour=7, Loss = 9.37279692152515e-05
Train step=21900, hour=7, Loss = 8.831810191622935e-06
Train step=22000, hour=7, Loss = 7.09673122401e-06
Train step=22100, hour=7, Loss = 7.1737877078703605e-06
Train step=22200, hour=7, Loss = 7.376883331744466e-06
Train step=22300, hour=7, Loss = 6.937344551261049e-06
Train step=22400, hour=7, Loss = 6.975935320951976e-06
Train step=22500, hour=7, Loss = 6.7953933466924354e-06
Train step=22600, hour=7, Loss = 6.647014743066393e-06
Train step=22700, hour=7, Loss = 6.765027137589641e-06
Train step=22800, hour=7, Loss = 6.838186436652904e-06
Train step=22900, hour=7, Loss = 6.5680992520356085e-06
Train step=23000, hour=7, Loss = 6.5729655034374446e-06
Train step=23100, hour=7, Loss = 6.455222319345921e-06
Train step=23200, hour=7, Loss = 6.450925866374746e-06
Train step=23300, hour=7, Loss = 7.108298177627148e-06
Train step=23400, hour=7, Loss = 8.443797923973761e-06
Train step=23500, hour=7, Loss = 8.494978828821331e-06
Train step=23600, hour=7, Loss = 6.606765964534134e-06
Train step=23700, hour=7, Loss = 8.055677426455077e-06
Train step=23800, hour=7, Loss = 6.699965524603613e-06
Train step=23900, hour=7, Loss = 1.941559457918629e-05
Train step=24000, hour=7, Loss = 1.4378576452145353e-05
Train step=24100, hour=7, Loss = 6.646805559284985e-06
Train step=24200, hour=7, Loss = 7.245540473377332e-06
Train step=24300, hour=7, Loss = 6.675880285911262e-06
Train step=24400, hour=8, Loss = 1.1369048479537014e-05
Train step=24500, hour=8, Loss = 7.175328391895164e-06
Train step=24600, hour=8, Loss = 6.782590389775578e-06
Train step=24700, hour=8, Loss = 6.711660716973711e-06
Train step=24800, hour=8, Loss = 6.5536723923287354e-06
Train step=24900, hour=8, Loss = 6.645635949098505e-06
Train step=25000, hour=8, Loss = 6.473452231148258e-06
Train step=25100, hour=8, Loss = 6.594543265237007e-06
Train step=25200, hour=8, Loss = 6.6489665186963975e-06
Train step=25300, hour=8, Loss = 6.398300683940761e-06
Train step=25400, hour=8, Loss = 6.4172190832323395e-06
Train step=25500, hour=8, Loss = 6.485382073151413e-06
Train step=25600, hour=8, Loss = 6.880375622131396e-06
Train step=25700, hour=8, Loss = 6.4825294430193026e-06
Train step=25800, hour=8, Loss = 7.765122063574381e-06
Train step=25900, hour=8, Loss = 6.520590432046447e-06
Train step=26000, hour=8, Loss = 6.528858648380265e-06
Train step=26100, hour=8, Loss = 7.216569429147057e-06
Train step=26200, hour=8, Loss = 1.4157314581098035e-05
Train step=26300, hour=8, Loss = 7.4318058977951296e-06
Train step=26400, hour=8, Loss = 6.433770522562554e-06
Train step=26500, hour=8, Loss = 7.576071311632404e-06
Train step=26600, hour=8, Loss = 8.411625458393246e-06
Train step=26700, hour=8, Loss = 7.76139222580241e-06
Train step=26800, hour=8, Loss = 1.3812493307341356e-05
Train step=26900, hour=8, Loss = 8.0048002928379e-06
Train step=27000, hour=8, Loss = 1.724122921586968e-05
Train step=27100, hour=9, Loss = 0.0006547219236381352
Train step=27200, hour=9, Loss = 1.616921872482635e-05
Train step=27300, hour=9, Loss = 9.881844562187325e-06
Train step=27400, hour=9, Loss = 9.555689757689834e-06
Train step=27500, hour=9, Loss = 7.964286851347424e-06
Train step=27600, hour=9, Loss = 7.7251697803149e-06
Train step=27700, hour=9, Loss = 7.008441571088042e-06
Train step=27800, hour=9, Loss = 7.439871751557803e-06
Train step=27900, hour=9, Loss = 7.336485396081116e-06
Train step=28000, hour=9, Loss = 7.1358854256686755e-06
Train step=28100, hour=9, Loss = 7.5292355177225545e-06
Train step=28200, hour=9, Loss = 7.306696716113947e-06
Train step=28300, hour=9, Loss = 6.916255188116338e-06
Train step=28400, hour=9, Loss = 7.356025889748707e-06
Train step=28500, hour=9, Loss = 6.932553333172109e-06
Train step=28600, hour=9, Loss = 7.114206255209865e-06
Train step=28700, hour=9, Loss = 6.849771580164088e-06
Train step=28800, hour=9, Loss = 6.876645329612074e-06
Train step=28900, hour=9, Loss = 7.055607966321986e-06
Train step=29000, hour=9, Loss = 6.7876626417273656e-06
Train step=29100, hour=9, Loss = 6.5704944063327275e-06
Train step=29200, hour=9, Loss = 6.491911335615441e-06
Train step=29300, hour=9, Loss = 6.575142833753489e-06
Train step=29400, hour=9, Loss = 6.953210231586127e-06
Train step=29500, hour=9, Loss = 6.634141755057499e-06
Train step=29600, hour=9, Loss = 6.675139047729317e-06
Train step=29700, hour=9, Loss = 7.026109415164683e-06
Train step=29800, hour=9, Loss = 1.2245711332070641e-05
Train step=29900, hour=10, Loss = 3.374511288711801e-05
Train step=30000, hour=10, Loss = 1.5857081962167285e-05
Train step=30100, hour=10, Loss = 9.713097824715078e-06
Train step=30200, hour=10, Loss = 7.493586053897161e-06
Train step=30300, hour=10, Loss = 7.538284080510493e-06
Train step=30400, hour=10, Loss = 7.754473699606024e-06
Train step=30500, hour=10, Loss = 6.92211460773251e-06
Train step=30600, hour=10, Loss = 6.9068328230059706e-06
Train step=30700, hour=10, Loss = 7.1186541390488856e-06
Train step=30800, hour=10, Loss = 8.885291208571289e-06
Train step=30900, hour=10, Loss = 7.430138339259429e-06
Train step=31000, hour=10, Loss = 6.84205224388279e-06
Train step=31100, hour=10, Loss = 6.624183697567787e-06
Train step=31200, hour=10, Loss = 6.759931693522958e-06
Train step=31300, hour=10, Loss = 2.030287214438431e-05
Train step=31400, hour=10, Loss = 7.178345185820945e-06
Train step=31500, hour=10, Loss = 7.007218755461508e-06
Train step=31600, hour=10, Loss = 8.69758878252469e-06
