Train step=100, hour=0, Loss = 1.1793566955020651e-05
Train step=200, hour=0, Loss = 1.0364450645283796e-05
Train step=300, hour=0, Loss = 8.858979526848998e-06
Train step=400, hour=0, Loss = 7.652650310774334e-06
Train step=500, hour=1, Loss = 9.648203558754176e-05
Train step=600, hour=1, Loss = 1.82229996426031e-05
Train step=700, hour=1, Loss = 2.9526776415877976e-05
Train step=800, hour=1, Loss = 2.6349229301558807e-05
Train step=900, hour=2, Loss = 3.4715594665613025e-05
Train step=1000, hour=2, Loss = 8.375506695301738e-06
Train step=1100, hour=2, Loss = 7.365893907262944e-06
Train step=1200, hour=2, Loss = 6.932996711839223e-06
Train step=1300, hour=2, Loss = 7.177767656685319e-06
Train step=1400, hour=2, Loss = 7.034465852484573e-06
Train step=1500, hour=3, Loss = 2.8884132916573435e-05
Train step=1600, hour=3, Loss = 1.0168087101192214e-05
Train step=1700, hour=3, Loss = 9.016173862619326e-06
Train step=1800, hour=3, Loss = 8.255141437985003e-06
Train step=1900, hour=3, Loss = 7.887332685641013e-06
Train step=2000, hour=4, Loss = 8.747303218115121e-05
Train step=2100, hour=4, Loss = 2.2515258024213836e-05
Train step=2200, hour=4, Loss = 1.7273769117309712e-05
Train step=2300, hour=4, Loss = 1.3367146493692417e-05
Train step=2400, hour=4, Loss = 1.2018483175779693e-05
Train step=2500, hour=4, Loss = 1.0118030331796035e-05
Train step=2600, hour=5, Loss = 1.5088016880326904e-05
Train step=2700, hour=5, Loss = 1.1514836842252407e-05
Train step=2800, hour=5, Loss = 9.206691174767911e-06
Train step=2900, hour=5, Loss = 9.512747055850923e-06
Train step=3000, hour=6, Loss = 5.0551901949802414e-05
Train step=3100, hour=6, Loss = 7.869757610023953e-06
Train step=3200, hour=6, Loss = 8.528367288818117e-06
Train step=3300, hour=6, Loss = 7.305357939912938e-06
Train step=3400, hour=6, Loss = 7.068404556775931e-06
Train step=3500, hour=7, Loss = 2.108576700265985e-05
Train step=3600, hour=7, Loss = 1.4717838894284796e-05
Train step=3700, hour=7, Loss = 1.6050180420279503e-05
Train step=3800, hour=7, Loss = 1.0682524589356035e-05
Train step=3900, hour=7, Loss = 1.1459078450570814e-05
Train step=4000, hour=8, Loss = 6.92492030793801e-05
Train step=4100, hour=8, Loss = 3.462778840912506e-05
Train step=4200, hour=8, Loss = 4.123595135752112e-05
Train step=4300, hour=8, Loss = 1.9713286746991798e-05
Train step=4400, hour=8, Loss = 2.1213636500760913e-05
Train step=4500, hour=9, Loss = 0.00034569704439491034
Train step=4600, hour=9, Loss = 7.902266588644125e-06
Train step=4700, hour=9, Loss = 7.462017038051272e-06
Train step=4800, hour=9, Loss = 7.106183147698175e-06
Train step=4900, hour=9, Loss = 7.095116870914353e-06
Train step=5000, hour=9, Loss = 7.305131930479547e-06
Train step=5100, hour=10, Loss = 1.3045348168816417e-05
Train step=5200, hour=10, Loss = 2.0590072381310165e-05
Train step=5300, hour=10, Loss = 1.1391295629437082e-05
Train step=5400, hour=10, Loss = 9.966497600544244e-06
Train step=5500, hour=10, Loss = 9.655175745137967e-06
Train step=5600, hour=11, Loss = 1.9462484488030896e-05
Train step=5700, hour=11, Loss = 1.0908303920587059e-05
Train step=5800, hour=11, Loss = 9.57190877670655e-06
Train step=5900, hour=11, Loss = 9.290397429140285e-06
Train step=6000, hour=11, Loss = 8.203674042306375e-06
Train step=6100, hour=12, Loss = 1.1547352187335491e-05
Train step=6200, hour=12, Loss = 8.993514711619355e-06
Train step=6300, hour=12, Loss = 7.536307748523541e-06
Train step=6400, hour=12, Loss = 7.463203473889735e-06
Train step=6500, hour=12, Loss = 7.533158168371301e-06
Train step=6600, hour=13, Loss = 8.549225458409637e-05
Train step=6700, hour=13, Loss = 9.713338840811048e-06
Train step=6800, hour=13, Loss = 9.185181625070982e-06
Train step=6900, hour=13, Loss = 8.056860679062083e-06
Train step=7000, hour=13, Loss = 7.597601779707475e-06
Train step=7100, hour=13, Loss = 7.102852578100283e-06
Train step=7200, hour=14, Loss = 2.4486513211741112e-05
Train step=7300, hour=14, Loss = 1.4492885384242982e-05
Train step=7400, hour=14, Loss = 1.0478841431904584e-05
Train step=7500, hour=14, Loss = 8.812422493065242e-06
Train step=7600, hour=14, Loss = 8.365158464584965e-06
Train step=7700, hour=15, Loss = 9.634020898374729e-06
Train step=7800, hour=15, Loss = 7.282989827217534e-06
Train step=7900, hour=15, Loss = 7.2590928539284505e-06
Train step=8000, hour=15, Loss = 7.105319127731491e-06
Train step=8100, hour=15, Loss = 6.602547728107311e-06
Train step=8200, hour=16, Loss = 1.153869743575342e-05
Train step=8300, hour=16, Loss = 7.838275450922083e-06
Train step=8400, hour=16, Loss = 6.9139387051109225e-06
Train step=8500, hour=16, Loss = 6.922859029145911e-06
Train step=8600, hour=16, Loss = 7.003984137554653e-06
Train step=8700, hour=17, Loss = 7.419657049467787e-05
Train step=8800, hour=17, Loss = 1.9684328435687348e-05
Train step=8900, hour=17, Loss = 2.3087686713552102e-05
Train step=9000, hour=17, Loss = 1.3566455891123042e-05
Train step=9100, hour=18, Loss = 0.006851727608591318
Train step=9200, hour=18, Loss = 8.166471161530353e-06
Train step=9300, hour=18, Loss = 7.657197784283198e-06
Train step=9400, hour=18, Loss = 7.671273124287836e-06
Train step=9500, hour=18, Loss = 7.0265400609059725e-06
Train step=9600, hour=18, Loss = 7.440172339556739e-06
Train step=9700, hour=19, Loss = 1.1863084182550665e-05
Train step=9800, hour=19, Loss = 8.752462235861458e-06
Train step=9900, hour=19, Loss = 8.392499694309663e-06
Train step=10000, hour=19, Loss = 8.105610504571814e-06
Train step=10100, hour=19, Loss = 7.278009434230626e-06
Train step=10200, hour=20, Loss = 3.371106140548363e-05
Train step=10300, hour=20, Loss = 1.2545709978439845e-05
Train step=10400, hour=20, Loss = 1.2006384167762008e-05
Train step=10500, hour=20, Loss = 8.871636964613572e-06
Train step=10600, hour=20, Loss = 1.0551614650466945e-05
Train step=10700, hour=21, Loss = 0.00014409040159080178
Train step=10800, hour=21, Loss = 1.73749758687336e-05
Train step=10900, hour=21, Loss = 1.1967807949986309e-05
Train step=11000, hour=21, Loss = 1.279296338907443e-05
Train step=11100, hour=21, Loss = 9.41758571570972e-06
Train step=11200, hour=22, Loss = 0.0003030379011761397
Train step=11300, hour=22, Loss = 5.982889706501737e-05
Train step=11400, hour=22, Loss = 5.032152694184333e-05
Train step=11500, hour=22, Loss = 4.245853051543236e-05
Train step=11600, hour=22, Loss = 2.90298557956703e-05
Train step=11700, hour=23, Loss = 1.3667622624780051e-05
Train step=11800, hour=23, Loss = 1.2357308150967583e-05
Train step=100, hour=0, Loss = 9.681063652038574
Train step=200, hour=0, Loss = 9.40281867980957
Train step=300, hour=0, Loss = 10.032121658325195
Train step=400, hour=0, Loss = 9.781816482543945
Train step=500, hour=0, Loss = 9.242332458496094
Train step=600, hour=0, Loss = 9.616092681884766
Train step=700, hour=0, Loss = 8.964534759521484
Train step=800, hour=0, Loss = 8.473283767700195
Train step=900, hour=0, Loss = 9.109189987182617
Train step=1000, hour=0, Loss = 9.648761749267578
Train step=1100, hour=0, Loss = 10.024961471557617
Train step=1200, hour=0, Loss = 8.678627967834473
Train step=1300, hour=0, Loss = 8.367681503295898
Train step=1400, hour=0, Loss = 7.922115325927734
Train step=1500, hour=1, Loss = 9.580135345458984
Train step=1600, hour=1, Loss = 9.220298767089844
Train step=1700, hour=1, Loss = 8.802600860595703
Train step=1800, hour=1, Loss = 8.991302490234375
Train step=1900, hour=1, Loss = 8.784317016601562
Train step=2000, hour=1, Loss = 9.059042930603027
Train step=2100, hour=1, Loss = 8.319172859191895
Train step=2200, hour=1, Loss = 7.74827766418457
Train step=2300, hour=1, Loss = 8.320289611816406
Train step=2400, hour=1, Loss = 9.530714988708496
Train step=2500, hour=1, Loss = 9.248088836669922
Train step=2600, hour=1, Loss = 8.339157104492188
Train step=2700, hour=1, Loss = 8.44552230834961
Train step=2800, hour=1, Loss = 8.130999565124512
Train step=2900, hour=1, Loss = 8.420225143432617
Train step=3000, hour=2, Loss = 9.949668884277344
Train step=3100, hour=2, Loss = 10.06958293914795
Train step=3200, hour=2, Loss = 9.52695083618164
Train step=3300, hour=2, Loss = 9.285696029663086
Train step=3400, hour=2, Loss = 10.589859962463379
Train step=3500, hour=2, Loss = 8.624261856079102
Train step=3600, hour=2, Loss = 8.537187576293945
Train step=3700, hour=2, Loss = 8.818848609924316
Train step=3800, hour=2, Loss = 9.063522338867188
Train step=3900, hour=2, Loss = 10.561427116394043
Train step=4000, hour=2, Loss = 8.787694931030273
Train step=4100, hour=2, Loss = 8.296009063720703
Train step=4200, hour=2, Loss = 9.346837997436523
Train step=4300, hour=2, Loss = 8.889730453491211
Train step=4400, hour=2, Loss = 9.143224716186523
Train step=4500, hour=3, Loss = 9.889856338500977
Train step=4600, hour=3, Loss = 9.57333755493164
Train step=4700, hour=3, Loss = 9.538257598876953
Train step=4800, hour=3, Loss = 9.412715911865234
Train step=4900, hour=3, Loss = 9.573081016540527
Train step=5000, hour=3, Loss = 8.900697708129883
Train step=5100, hour=3, Loss = 8.761269569396973
Train step=5200, hour=3, Loss = 8.435235977172852
Train step=5300, hour=3, Loss = 8.913877487182617
Train step=5400, hour=3, Loss = 10.137393951416016
Train step=5500, hour=3, Loss = 9.218907356262207
Train step=5600, hour=3, Loss = 8.469456672668457
Train step=5700, hour=3, Loss = 9.084056854248047
Train step=5800, hour=3, Loss = 9.556417465209961
Train step=5900, hour=3, Loss = 9.778217315673828
Train step=6000, hour=4, Loss = 9.495986938476562
Train step=6100, hour=4, Loss = 8.682731628417969
Train step=6200, hour=4, Loss = 8.706934928894043
Train step=6300, hour=4, Loss = 9.7761869430542
Train step=6400, hour=4, Loss = 9.315077781677246
Train step=6500, hour=4, Loss = 9.017324447631836
Train step=6600, hour=4, Loss = 9.416669845581055
Train step=6700, hour=4, Loss = 9.676427841186523
Train step=6800, hour=4, Loss = 9.215890884399414
Train step=6900, hour=4, Loss = 9.3597993850708
Train step=7000, hour=4, Loss = 9.490776062011719
Train step=7100, hour=5, Loss = 9.630891799926758
Train step=7200, hour=5, Loss = 9.188648223876953
Train step=7300, hour=5, Loss = 9.533933639526367
Train step=7400, hour=5, Loss = 15.261025428771973
Train step=7500, hour=5, Loss = 9.834100723266602
Train step=7600, hour=5, Loss = 8.370100975036621
Train step=7700, hour=5, Loss = 8.064992904663086
Train step=7800, hour=5, Loss = 9.556983947753906
Train step=7900, hour=5, Loss = 57.13158416748047
Train step=8000, hour=5, Loss = 7.909316062927246
Train step=8100, hour=5, Loss = 9.905057907104492
Train step=8200, hour=5, Loss = 8.786115646362305
Train step=8300, hour=5, Loss = 7.975908279418945
Train step=8400, hour=5, Loss = 8.541950225830078
Train step=8500, hour=5, Loss = 7.936315536499023
Train step=8600, hour=5, Loss = 1.6776540279388428
Train step=8700, hour=6, Loss = 9.725520133972168
Train step=8800, hour=6, Loss = 9.33848762512207
Train step=8900, hour=6, Loss = 9.267464637756348
Train step=9000, hour=6, Loss = 10.341877937316895
Train step=9100, hour=6, Loss = 8.625895500183105
Train step=9200, hour=6, Loss = 9.528111457824707
Train step=9300, hour=6, Loss = 9.03335189819336
Train step=9400, hour=6, Loss = 5.197564125061035
Train step=9500, hour=6, Loss = 7.499294757843018
Train step=9600, hour=6, Loss = 9.900335311889648
Train step=9700, hour=6, Loss = 3.4537570476531982
Train step=9800, hour=6, Loss = 7.565258026123047
Train step=9900, hour=6, Loss = 7.1119232177734375
Train step=10000, hour=6, Loss = 6.52591609954834
Train step=10100, hour=6, Loss = 5.257749080657959
Train step=10200, hour=6, Loss = 5.1005353927612305
Train step=10300, hour=7, Loss = 9.313854217529297
Train step=10400, hour=7, Loss = 8.187064170837402
Train step=10500, hour=7, Loss = 8.070443153381348
Train step=10600, hour=7, Loss = 5.357065200805664
Train step=10700, hour=7, Loss = 6.269577980041504
Train step=10800, hour=7, Loss = 8.646249771118164
Train step=10900, hour=7, Loss = 5.060302734375
Train step=11000, hour=7, Loss = 5.982861518859863
Train step=11100, hour=7, Loss = 4.5114030838012695
Train step=11200, hour=7, Loss = 4.432066917419434
Train step=11300, hour=7, Loss = 5.534809589385986
Train step=11400, hour=8, Loss = 10.274850845336914
Train step=11500, hour=8, Loss = 9.44797134399414
Train step=11600, hour=8, Loss = 8.060256004333496
Train step=11700, hour=8, Loss = 7.758146286010742
Train step=11800, hour=8, Loss = 9.231483459472656
Train step=11900, hour=8, Loss = 6.888397693634033
Train step=12000, hour=8, Loss = 5.968116283416748
Train step=12100, hour=8, Loss = 8.320840835571289
Train step=12200, hour=8, Loss = 4.9800567626953125
Train step=12300, hour=8, Loss = 6.72524881362915
Train step=12400, hour=8, Loss = 6.2080607414245605
Train step=12500, hour=8, Loss = 6.7123308181762695
Train step=12600, hour=8, Loss = 5.3332319259643555
Train step=12700, hour=8, Loss = 6.185408115386963
Train step=12800, hour=8, Loss = 5.92867374420166
Train step=12900, hour=9, Loss = 9.050506591796875
Train step=13000, hour=9, Loss = 14.070037841796875
Train step=13100, hour=9, Loss = 6.951727867126465
Train step=13200, hour=9, Loss = 7.083459377288818
Train step=13300, hour=9, Loss = 8.098013877868652
Train step=13400, hour=9, Loss = 7.214441299438477
Train step=13500, hour=9, Loss = 5.72942590713501
Train step=13600, hour=9, Loss = -4.160857677459717
Train step=13700, hour=9, Loss = 3.0565245151519775
Train step=13800, hour=9, Loss = 4.847209453582764
Train step=13900, hour=9, Loss = 12.509543418884277
Train step=14000, hour=9, Loss = 3.5208888053894043
Train step=14100, hour=9, Loss = 4.711010932922363
Train step=14200, hour=9, Loss = 6.096255779266357
Train step=14300, hour=9, Loss = 7.7718071937561035
Train step=14400, hour=10, Loss = 8.401987075805664
Train step=14500, hour=10, Loss = 8.961181640625
Train step=14600, hour=10, Loss = 6.618367671966553
Train step=14700, hour=10, Loss = 7.304473876953125
Train step=14800, hour=10, Loss = 7.578379154205322
Train step=14900, hour=10, Loss = 6.1555891036987305
Train step=15000, hour=10, Loss = 5.539443016052246
Train step=15100, hour=10, Loss = 4.73388671875
Train step=15200, hour=10, Loss = 6.368534088134766
Train step=15300, hour=10, Loss = 5.978845596313477
Train step=15400, hour=10, Loss = 9.07192611694336
Train step=15500, hour=10, Loss = 6.1167826652526855
Train step=15600, hour=10, Loss = 6.566351413726807
Train step=15700, hour=10, Loss = 5.783852577209473
Train step=15800, hour=10, Loss = 5.561431407928467
Train step=15900, hour=10, Loss = 5.749540328979492
Train step=16000, hour=11, Loss = 8.596273422241211
Train step=16100, hour=11, Loss = 6.360079288482666
Train step=16200, hour=11, Loss = 5.657120704650879
Train step=16300, hour=11, Loss = 5.686259746551514
Train step=16400, hour=11, Loss = 1.4311566352844238
Train step=16500, hour=11, Loss = 5.86867618560791
Train step=16600, hour=11, Loss = 6.635385990142822
Train step=16700, hour=11, Loss = 5.037405014038086
Train step=16800, hour=11, Loss = 5.8007001876831055
Train step=16900, hour=11, Loss = 3.896697998046875
Train step=17000, hour=11, Loss = 6.597168445587158
Train step=17100, hour=11, Loss = 4.667063236236572
Train step=17200, hour=11, Loss = 6.924936294555664
Train step=17300, hour=12, Loss = 9.542913436889648
Train step=17400, hour=12, Loss = 8.084877967834473
Train step=17500, hour=12, Loss = 8.249798774719238
Train step=17600, hour=12, Loss = 5.664402008056641
Train step=17700, hour=12, Loss = 6.679999351501465
Train step=17800, hour=12, Loss = 7.344570636749268
Train step=17900, hour=12, Loss = 5.730095386505127
Train step=18000, hour=12, Loss = 4.737183570861816
Train step=18100, hour=12, Loss = 5.681885719299316
Train step=18200, hour=12, Loss = 6.999573707580566
Train step=18300, hour=12, Loss = 8.487157821655273
Train step=18400, hour=12, Loss = 3.9979777336120605
Train step=18500, hour=12, Loss = 5.748333930969238
Train step=18600, hour=12, Loss = 4.678938865661621
Train step=18700, hour=13, Loss = 8.448760032653809
Train step=18800, hour=13, Loss = 6.797018051147461
Train step=18900, hour=13, Loss = 7.374556541442871
Train step=19000, hour=13, Loss = 6.686534881591797
Train step=19100, hour=13, Loss = 7.810563564300537
Train step=19200, hour=13, Loss = 6.628330230712891
Train step=19300, hour=13, Loss = 5.424293518066406
Train step=19400, hour=13, Loss = 4.827506065368652
Train step=19500, hour=13, Loss = 5.164699077606201
Train step=19600, hour=13, Loss = 5.131082534790039
Train step=19700, hour=13, Loss = 5.8959832191467285
Train step=19800, hour=13, Loss = 5.862027645111084
Train step=19900, hour=13, Loss = 6.243687152862549
Train step=20000, hour=13, Loss = 7.26455020904541
Train step=20100, hour=14, Loss = 8.713445663452148
Train step=20200, hour=14, Loss = 9.065448760986328
Train step=20300, hour=14, Loss = 6.871101379394531
Train step=20400, hour=14, Loss = 6.201591491699219
Train step=20500, hour=14, Loss = 6.925004959106445
Train step=20600, hour=14, Loss = 6.064422607421875
Train step=20700, hour=14, Loss = 5.279580116271973
Train step=20800, hour=14, Loss = 8.260039329528809
Train step=20900, hour=14, Loss = 7.211982727050781
Train step=21000, hour=14, Loss = 4.609405517578125
Train step=21100, hour=14, Loss = 8.178360939025879
Train step=21200, hour=14, Loss = 6.5676164627075195
Train step=21300, hour=14, Loss = 6.64833927154541
Train step=21400, hour=15, Loss = 9.098349571228027
Train step=21500, hour=15, Loss = 7.566454887390137
Train step=21600, hour=15, Loss = 8.12297248840332
Train step=21700, hour=15, Loss = 6.442092418670654
Train step=21800, hour=15, Loss = 7.5618062019348145
Train step=21900, hour=15, Loss = 6.913440704345703
Train step=22000, hour=15, Loss = 5.922547340393066
Train step=22100, hour=15, Loss = 9.799537658691406
Train step=22200, hour=15, Loss = 7.0991973876953125
Train step=22300, hour=15, Loss = 8.36085319519043
Train step=22400, hour=15, Loss = 5.744277000427246
Train step=22500, hour=15, Loss = 3.939837694168091
Train step=22600, hour=15, Loss = 6.299139976501465
Train step=22700, hour=15, Loss = 8.571697235107422
Train step=22800, hour=15, Loss = 4.928114891052246
Train step=22900, hour=16, Loss = 8.579754829406738
Train step=23000, hour=16, Loss = 6.949106216430664
Train step=23100, hour=16, Loss = 7.027397155761719
Train step=23200, hour=16, Loss = 7.85134220123291
Train step=23300, hour=16, Loss = 9.913801193237305
Train step=23400, hour=16, Loss = 5.504370212554932
Train step=23500, hour=16, Loss = 4.238114356994629
Train step=23600, hour=16, Loss = 4.373624801635742
Train step=23700, hour=16, Loss = 4.957164287567139
Train step=23800, hour=16, Loss = 3.5088343620300293
Train step=23900, hour=16, Loss = 4.416228771209717
Train step=24000, hour=16, Loss = 7.053597927093506
Train step=24100, hour=16, Loss = 7.430265426635742
Train step=24200, hour=16, Loss = 3.718569755554199
Train step=24300, hour=17, Loss = 8.782803535461426
Train step=24400, hour=17, Loss = 9.642792701721191
Train step=24500, hour=17, Loss = 9.035663604736328
Train step=24600, hour=17, Loss = 7.894330978393555
Train step=24700, hour=17, Loss = 6.772086143493652
Train step=24800, hour=17, Loss = 9.779838562011719
Train step=24900, hour=17, Loss = 7.859484672546387
Train step=25000, hour=17, Loss = 8.024048805236816
Train step=25100, hour=17, Loss = 7.877507209777832
Train step=25200, hour=17, Loss = 7.567750930786133
Train step=25300, hour=17, Loss = 8.627531051635742
Train step=25400, hour=17, Loss = 6.416319847106934
Train step=25500, hour=17, Loss = 6.56387186050415
Train step=25600, hour=17, Loss = 8.285670280456543
Train step=25700, hour=17, Loss = 7.877524375915527
Train step=25800, hour=17, Loss = 7.028993606567383
Train step=25900, hour=18, Loss = 9.152101516723633
Train step=26000, hour=18, Loss = 9.208136558532715
Train step=26100, hour=18, Loss = 8.573979377746582
Train step=26200, hour=18, Loss = 7.363894939422607
Train step=26300, hour=18, Loss = 9.257076263427734
Train step=26400, hour=18, Loss = 4.928430557250977
Train step=26500, hour=18, Loss = 6.51177978515625
Train step=26600, hour=18, Loss = 7.215551853179932
Train step=26700, hour=18, Loss = 3.8177855014801025
Train step=26800, hour=18, Loss = 6.433501243591309
Train step=26900, hour=18, Loss = 6.16729736328125
Train step=27000, hour=18, Loss = 5.016812324523926
Train step=27100, hour=18, Loss = 7.769489288330078
Train step=27200, hour=18, Loss = 4.338608264923096
Train step=27300, hour=18, Loss = 7.154599666595459
Train step=27400, hour=18, Loss = 8.1677827835083
Train step=27500, hour=19, Loss = 9.109231948852539
Train step=27600, hour=19, Loss = 7.458065986633301
Train step=27700, hour=19, Loss = 7.456693649291992
Train step=27800, hour=19, Loss = 6.587921142578125
Train step=27900, hour=19, Loss = 7.0054168701171875
Train step=28000, hour=19, Loss = 5.759325981140137
Train step=28100, hour=19, Loss = 9.130581855773926
Train step=28200, hour=19, Loss = 6.4050703048706055
Train step=28300, hour=19, Loss = 8.589122772216797
Train step=28400, hour=19, Loss = 6.2688822746276855
Train step=28500, hour=19, Loss = 5.347054481506348
Train step=28600, hour=19, Loss = 8.263612747192383
Train step=28700, hour=19, Loss = 6.486595153808594
Train step=28800, hour=19, Loss = 7.934207916259766
Train step=28900, hour=19, Loss = 6.393969535827637
Train step=29000, hour=19, Loss = 6.665627479553223
Train step=29100, hour=20, Loss = 9.785895347595215
Train step=29200, hour=20, Loss = 9.669397354125977
Train step=29300, hour=20, Loss = 8.256729125976562
Train step=29400, hour=20, Loss = 9.775975227355957
Train step=29500, hour=20, Loss = 9.023895263671875
Train step=29600, hour=20, Loss = 8.874776840209961
Train step=29700, hour=20, Loss = 8.663053512573242
Train step=29800, hour=20, Loss = 10.194934844970703
Train step=29900, hour=20, Loss = 7.463871002197266
Train step=30000, hour=20, Loss = 8.377991676330566
Train step=30100, hour=20, Loss = 7.949164390563965
Train step=30200, hour=20, Loss = 9.069284439086914
Train step=30300, hour=20, Loss = 6.891030311584473
Train step=30400, hour=20, Loss = 8.42844009399414
Train step=30500, hour=20, Loss = 7.131285190582275
Train step=30600, hour=20, Loss = 8.06322193145752
Train step=30700, hour=21, Loss = 9.618132591247559
Train step=30800, hour=21, Loss = 9.696294784545898
Train step=30900, hour=21, Loss = 8.916742324829102
Train step=31000, hour=21, Loss = 8.414673805236816
Train step=31100, hour=21, Loss = 8.62841796875
Train step=31200, hour=21, Loss = 8.439472198486328
Train step=31300, hour=21, Loss = 6.104367256164551
Train step=31400, hour=21, Loss = 7.825387477874756
Train step=31500, hour=21, Loss = 7.532529830932617
Train step=31600, hour=21, Loss = 5.607539176940918
Train step=31700, hour=21, Loss = 7.659270763397217
Train step=31800, hour=21, Loss = 9.766164779663086
Train step=31900, hour=21, Loss = 5.280243873596191
Train step=32000, hour=21, Loss = 5.471532344818115
Train step=32100, hour=21, Loss = 5.566753387451172
Train step=32200, hour=21, Loss = 7.088353633880615
Train step=32300, hour=22, Loss = 9.62861442565918
Train step=32400, hour=22, Loss = 9.829065322875977
Train step=32500, hour=22, Loss = 8.993003845214844
Train step=32600, hour=22, Loss = 8.578706741333008
Train step=32700, hour=22, Loss = 8.727691650390625
Train step=32800, hour=22, Loss = 8.108566284179688
Train step=32900, hour=22, Loss = 7.3449506759643555
Train step=33000, hour=22, Loss = 7.905733585357666
Train step=33100, hour=22, Loss = 6.035102844238281
Train step=33200, hour=22, Loss = 7.357004165649414
Train step=33300, hour=22, Loss = 7.276566028594971
Train step=33400, hour=22, Loss = 6.6805009841918945
Train step=33500, hour=22, Loss = 5.807262420654297
Train step=33600, hour=22, Loss = 6.077619552612305
Train step=33700, hour=22, Loss = 6.390267372131348
Train step=33800, hour=23, Loss = 9.75733757019043
Train step=33900, hour=23, Loss = 9.715557098388672
Train step=34000, hour=23, Loss = 9.15401840209961
Train step=34100, hour=23, Loss = 8.81505298614502
Train step=34200, hour=23, Loss = 8.81406307220459
Train step=34300, hour=23, Loss = 9.324103355407715
Train step=34400, hour=23, Loss = 8.585753440856934
Train step=34500, hour=23, Loss = 8.809121131896973
Train step=34600, hour=23, Loss = 7.7668328285217285
Train step=34700, hour=23, Loss = 8.507081031799316
Train step=34800, hour=23, Loss = 8.92809009552002
Train step=34900, hour=23, Loss = 9.636953353881836
