Train step=100, hour=0, Loss = 9.331077308161184e-06
Train step=200, hour=0, Loss = 8.403065294260159e-06
Train step=300, hour=0, Loss = 7.493154953408521e-06
Train step=400, hour=0, Loss = 7.2888565227913205e-06
Train step=500, hour=0, Loss = 7.860200639697723e-06
Train step=600, hour=0, Loss = 7.095492492226185e-06
Train step=700, hour=0, Loss = 6.935793862794526e-06
Train step=800, hour=0, Loss = 7.004994131420972e-06
Train step=900, hour=0, Loss = 7.0092528403620236e-06
Train step=1000, hour=0, Loss = 6.942866093595512e-06
Train step=1100, hour=0, Loss = 6.873361144243972e-06
Train step=1200, hour=0, Loss = 6.768383173039183e-06
Train step=1300, hour=0, Loss = 6.676344128209166e-06
Train step=1400, hour=0, Loss = 6.835141448391369e-06
Train step=1500, hour=0, Loss = 6.8552808443200774e-06
Train step=1600, hour=0, Loss = 6.866388957860181e-06
Train step=1700, hour=1, Loss = 0.00010432643466629088
Train step=1800, hour=1, Loss = 9.298873010266107e-06
Train step=1900, hour=1, Loss = 8.884017006494105e-06
Train step=2000, hour=1, Loss = 7.376655958069023e-06
Train step=2100, hour=1, Loss = 1.0320933142793365e-05
Train step=2200, hour=1, Loss = 7.154948434617836e-06
Train step=2300, hour=1, Loss = 7.185649337770883e-06
Train step=2400, hour=1, Loss = 7.103845746314619e-06
Train step=2500, hour=1, Loss = 7.3318692557222676e-06
Train step=2600, hour=1, Loss = 6.616156042582588e-06
Train step=2700, hour=1, Loss = 7.014508810243569e-06
Train step=2800, hour=1, Loss = 7.454867045453284e-06
Train step=2900, hour=1, Loss = 6.8465651565929875e-06
Train step=3000, hour=1, Loss = 7.221059149742359e-06
Train step=3100, hour=1, Loss = 6.728485004714457e-06
Train step=3200, hour=2, Loss = 0.00019832950783893466
Train step=3300, hour=2, Loss = 2.059282996924594e-05
Train step=3400, hour=2, Loss = 1.6695646991138346e-05
Train step=3500, hour=2, Loss = 1.6174300981219858e-05
Train step=3600, hour=2, Loss = 1.2123473425162956e-05
Train step=3700, hour=2, Loss = 1.1334713235555682e-05
Train step=3800, hour=2, Loss = 9.252304153051227e-06
Train step=3900, hour=2, Loss = 1.0819070666912012e-05
Train step=4000, hour=2, Loss = 8.787825208855793e-06
Train step=4100, hour=2, Loss = 9.426587894267868e-06
Train step=4200, hour=2, Loss = 7.843356797820888e-06
Train step=4300, hour=2, Loss = 8.18427542981226e-06
Train step=4400, hour=2, Loss = 7.998120963748079e-06
Train step=4500, hour=2, Loss = 9.318217053078115e-06
Train step=4600, hour=2, Loss = 9.682813470135443e-06
Train step=4700, hour=2, Loss = 1.1039683158742264e-05
Train step=4800, hour=2, Loss = 1.3278138794703409e-05
Train step=4900, hour=2, Loss = 7.263616134878248e-05
Train step=5000, hour=2, Loss = 9.677310117695015e-06
Train step=5100, hour=3, Loss = 0.000662086415104568
Train step=5200, hour=3, Loss = 9.118222806137055e-06
Train step=5300, hour=3, Loss = 8.063552741077729e-06
Train step=5400, hour=3, Loss = 7.575295967399143e-06
Train step=5500, hour=3, Loss = 7.104037649696693e-06
Train step=5600, hour=3, Loss = 7.197025297500659e-06
Train step=5700, hour=3, Loss = 7.208102942968253e-06
Train step=5800, hour=3, Loss = 6.871548521303339e-06
Train step=5900, hour=3, Loss = 6.8008803282282315e-06
Train step=6000, hour=3, Loss = 6.7288769969309215e-06
Train step=6100, hour=3, Loss = 6.878888598293997e-06
Train step=6200, hour=3, Loss = 6.799364200560376e-06
Train step=6300, hour=3, Loss = 6.843810297141317e-06
Train step=6400, hour=3, Loss = 6.956003744562622e-06
Train step=6500, hour=3, Loss = 6.702059181407094e-06
Train step=6600, hour=3, Loss = 6.705764462822117e-06
Train step=6700, hour=3, Loss = 6.563161150552332e-06
Train step=6800, hour=3, Loss = 6.617672170250444e-06
Train step=6900, hour=3, Loss = 6.820187991252169e-06
Train step=7000, hour=3, Loss = 6.881755325593986e-06
Train step=7100, hour=3, Loss = 8.329233423864935e-06
Train step=7200, hour=4, Loss = 3.0777908250456676e-05
Train step=7300, hour=4, Loss = 9.110486644203775e-06
Train step=7400, hour=4, Loss = 8.178156349458732e-06
Train step=7500, hour=4, Loss = 7.537316378147807e-06
Train step=7600, hour=4, Loss = 7.343845936702564e-06
Train step=7700, hour=4, Loss = 7.011009984125849e-06
Train step=7800, hour=4, Loss = 6.996819138294086e-06
Train step=7900, hour=4, Loss = 6.888363714097068e-06
Train step=8000, hour=4, Loss = 6.930447852937505e-06
Train step=8100, hour=4, Loss = 6.800591108913068e-06
Train step=8200, hour=4, Loss = 6.840530659246724e-06
Train step=8300, hour=4, Loss = 6.537397894135211e-06
Train step=8400, hour=4, Loss = 6.850525551271858e-06
Train step=8500, hour=4, Loss = 6.62481124891201e-06
Train step=8600, hour=4, Loss = 6.7177943492424674e-06
Train step=8700, hour=4, Loss = 6.612932338612154e-06
Train step=8800, hour=5, Loss = 2.230017344118096e-05
Train step=8900, hour=5, Loss = 1.4755903066543397e-05
Train step=9000, hour=5, Loss = 1.2112475815229118e-05
Train step=9100, hour=5, Loss = 1.056938162946608e-05
Train step=9200, hour=5, Loss = 9.133068488154095e-06
Train step=9300, hour=5, Loss = 8.44591613713419e-06
Train step=9400, hour=5, Loss = 7.683554940740578e-06
Train step=9500, hour=5, Loss = 7.37680329621071e-06
Train step=9600, hour=5, Loss = 8.216897185775451e-06
Train step=9700, hour=5, Loss = 7.301889127120376e-06
Train step=9800, hour=5, Loss = 7.173769972723676e-06
Train step=9900, hour=5, Loss = 7.11357779437094e-06
Train step=10000, hour=6, Loss = 0.0001876259339042008
Train step=10100, hour=6, Loss = 9.534210403217003e-05
Train step=10200, hour=6, Loss = 5.2705763664562255e-05
Train step=10300, hour=6, Loss = 2.4696777472854592e-05
