Train step=12900, hour=9, Loss = 6.83411979675293
Train step=13000, hour=9, Loss = 6.639394760131836
Train step=13100, hour=9, Loss = 8.950946807861328
Train step=13200, hour=9, Loss = 7.0717973709106445
Train step=13300, hour=9, Loss = 7.025375843048096
Train step=13400, hour=9, Loss = 6.405201435089111
Train step=13500, hour=9, Loss = 3.6961545944213867
Train step=13600, hour=9, Loss = 7.777213096618652
Train step=13700, hour=10, Loss = 10.230935096740723
Train step=13800, hour=10, Loss = 7.302833557128906
Train step=13900, hour=10, Loss = 8.007802963256836
Train step=14000, hour=10, Loss = 4.663087368011475
Train step=14100, hour=10, Loss = 8.048759460449219
Train step=14200, hour=10, Loss = 5.538506031036377
Train step=14300, hour=10, Loss = 5.233043193817139
Train step=14400, hour=10, Loss = 9.4700345993042
Train step=14500, hour=10, Loss = 5.7427873611450195
Train step=14600, hour=10, Loss = 5.461089134216309
Train step=14700, hour=10, Loss = 6.015663146972656
Train step=14800, hour=10, Loss = 5.4246625900268555
Train step=14900, hour=10, Loss = 6.733725070953369
Train step=15000, hour=10, Loss = 6.862583160400391
Train step=15100, hour=10, Loss = 6.270601272583008
Train step=15200, hour=11, Loss = 8.179593086242676
Train step=15300, hour=11, Loss = 7.205208778381348
Train step=15400, hour=11, Loss = 6.894811630249023
Train step=15500, hour=11, Loss = 6.7152252197265625
Train step=15600, hour=11, Loss = 6.942405700683594
Train step=15700, hour=11, Loss = 5.146518707275391
Train step=15800, hour=11, Loss = 7.349994659423828
Train step=15900, hour=11, Loss = 6.512606143951416
Train step=16000, hour=11, Loss = 5.7340474128723145
Train step=16100, hour=11, Loss = 7.017756938934326
Train step=16200, hour=11, Loss = 5.858747482299805
Train step=16300, hour=11, Loss = 4.178881645202637
Train step=16400, hour=11, Loss = 5.724071502685547
Train step=16500, hour=12, Loss = 9.224115371704102
Train step=16600, hour=12, Loss = 8.077592849731445
Train step=16700, hour=12, Loss = 6.134305953979492
Train step=16800, hour=12, Loss = 6.187341690063477
Train step=16900, hour=12, Loss = 5.616609573364258
