Train step=10000, hour=19, Loss = 9.944556950358674e-06
Train step=10100, hour=19, Loss = 9.36238302529091e-06
Train step=10200, hour=19, Loss = 8.346445611095987e-06
Train step=10300, hour=19, Loss = 8.65313268150203e-06
Train step=10400, hour=20, Loss = 7.390507380478084e-05
Train step=10500, hour=20, Loss = 2.6151250494876876e-05
Train step=10600, hour=20, Loss = 1.5188054021564312e-05
Train step=10700, hour=20, Loss = 1.5279225408448838e-05
Train step=10800, hour=20, Loss = 1.8254493625136092e-05
Train step=10900, hour=21, Loss = 0.0002503802825231105
Train step=11000, hour=21, Loss = 8.859722584020346e-06
Train step=11100, hour=21, Loss = 7.657543392269872e-06
Train step=11200, hour=21, Loss = 6.867461252113571e-06
Train step=11300, hour=21, Loss = 6.868103355373023e-06
Train step=11400, hour=21, Loss = 7.016161816864042e-06
Train step=11500, hour=22, Loss = 1.3576476703747176e-05
Train step=11600, hour=22, Loss = 9.896206393023022e-06
Train step=11700, hour=22, Loss = 8.63959485286614e-06
Train step=11800, hour=22, Loss = 7.280389581865165e-06
Train step=11900, hour=23, Loss = 0.0001405899238307029
Train step=12000, hour=23, Loss = 1.5511011952185072e-05
Train step=12100, hour=23, Loss = 1.6124226021929644e-05
Train step=100, hour=0, Loss = 9.755172729492188
Train step=200, hour=0, Loss = 9.164710998535156
Train step=300, hour=0, Loss = 9.647367477416992
Train step=400, hour=0, Loss = 9.610279083251953
Train step=500, hour=0, Loss = 9.34421157836914
Train step=600, hour=0, Loss = 9.110063552856445
Train step=700, hour=0, Loss = 8.92861557006836
Train step=800, hour=0, Loss = 9.279874801635742
Train step=900, hour=0, Loss = 9.334685325622559
Train step=1000, hour=0, Loss = 8.593958854675293
Train step=1100, hour=0, Loss = 8.925928115844727
Train step=1200, hour=0, Loss = 9.1513671875
Train step=1300, hour=0, Loss = 8.706222534179688
Train step=1400, hour=0, Loss = 10.258077621459961
Train step=1500, hour=0, Loss = 7.863486289978027
Train step=1600, hour=1, Loss = 8.935382843017578
Train step=1700, hour=1, Loss = 8.90805435180664
Train step=1800, hour=1, Loss = 7.175734996795654
Train step=1900, hour=1, Loss = 8.068751335144043
Train step=2000, hour=1, Loss = 6.734900951385498
Train step=2100, hour=1, Loss = 8.768789291381836
Train step=2200, hour=1, Loss = 9.096986770629883
Train step=2300, hour=1, Loss = 8.502775192260742
Train step=2400, hour=1, Loss = 8.025375366210938
Train step=2500, hour=1, Loss = 7.207989692687988
Train step=2600, hour=1, Loss = 8.4794921875
Train step=2700, hour=1, Loss = 6.005746841430664
Train step=2800, hour=1, Loss = 8.383821487426758
Train step=2900, hour=1, Loss = 9.018346786499023
Train step=3000, hour=2, Loss = 9.855563163757324
Train step=3100, hour=2, Loss = 9.182329177856445
Train step=3200, hour=2, Loss = 9.091619491577148
Train step=3300, hour=2, Loss = 9.419455528259277
Train step=3400, hour=2, Loss = 8.353979110717773
Train step=3500, hour=2, Loss = 9.4607515335083
Train step=3600, hour=2, Loss = 10.355085372924805
Train step=3700, hour=2, Loss = 9.370708465576172
Train step=3800, hour=2, Loss = 8.343305587768555
Train step=3900, hour=2, Loss = 9.432865142822266
Train step=4000, hour=2, Loss = 8.842849731445312
Train step=4100, hour=2, Loss = 8.571182250976562
Train step=4200, hour=2, Loss = 8.173063278198242
Train step=4300, hour=2, Loss = 8.26294231414795
Train step=4400, hour=2, Loss = 8.745603561401367
Train step=4500, hour=2, Loss = 9.422823905944824
Train step=4600, hour=3, Loss = 9.89447021484375
Train step=4700, hour=3, Loss = 8.748159408569336
Train step=4800, hour=3, Loss = 9.223470687866211
Train step=4900, hour=3, Loss = 9.997786521911621
Train step=5000, hour=3, Loss = 9.218849182128906
Train step=5100, hour=3, Loss = 9.155057907104492
Train step=5200, hour=3, Loss = 9.092100143432617
Train step=5300, hour=3, Loss = 9.95118522644043
Train step=5400, hour=3, Loss = 8.716737747192383
Train step=5500, hour=3, Loss = 8.961690902709961
Train step=5600, hour=3, Loss = 8.958639144897461
Train step=5700, hour=3, Loss = 9.712837219238281
Train step=5800, hour=3, Loss = 9.776732444763184
Train step=5900, hour=3, Loss = 9.10720443725586
Train step=6000, hour=3, Loss = 9.840826034545898
Train step=6100, hour=3, Loss = 9.495214462280273
Train step=6200, hour=4, Loss = 9.076924324035645
Train step=6300, hour=4, Loss = 9.943753242492676
Train step=6400, hour=4, Loss = 9.793497085571289
Train step=6500, hour=4, Loss = 8.410061836242676
Train step=6600, hour=4, Loss = 9.551759719848633
Train step=6700, hour=4, Loss = 9.799280166625977
Train step=6800, hour=4, Loss = 8.971901893615723
Train step=6900, hour=4, Loss = 9.612252235412598
Train step=7000, hour=4, Loss = 9.910938262939453
Train step=7100, hour=4, Loss = 8.322986602783203
Train step=7200, hour=4, Loss = 8.083740234375
Train step=7300, hour=4, Loss = 8.976555824279785
Train step=7400, hour=5, Loss = 8.202531814575195
Train step=7500, hour=5, Loss = 9.233880996704102
Train step=7600, hour=5, Loss = 9.481035232543945
Train step=7700, hour=5, Loss = 9.445362091064453
Train step=7800, hour=5, Loss = 9.248664855957031
Train step=7900, hour=5, Loss = 8.247379302978516
Train step=8000, hour=5, Loss = 9.10696792602539
Train step=8100, hour=5, Loss = 9.210912704467773
Train step=8200, hour=5, Loss = 6.605951309204102
Train step=8300, hour=5, Loss = 8.883336067199707
Train step=8400, hour=5, Loss = 5.537875652313232
Train step=8500, hour=5, Loss = 9.830305099487305
Train step=8600, hour=5, Loss = 9.589052200317383
Train step=8700, hour=5, Loss = 10.009237289428711
Train step=8800, hour=5, Loss = 9.649686813354492
Train step=8900, hour=5, Loss = 9.582496643066406
Train step=9000, hour=5, Loss = 9.780477523803711
Train step=9100, hour=6, Loss = 9.762386322021484
Train step=9200, hour=6, Loss = 9.408875465393066
Train step=9300, hour=6, Loss = 9.513483047485352
Train step=9400, hour=6, Loss = 8.902870178222656
Train step=9500, hour=6, Loss = 14.461935043334961
Train step=9600, hour=6, Loss = 8.281807899475098
Train step=9700, hour=6, Loss = 7.230546474456787
Train step=9800, hour=6, Loss = 9.431402206420898
Train step=9900, hour=6, Loss = 9.699978828430176
Train step=10000, hour=6, Loss = 7.527609825134277
Train step=10100, hour=6, Loss = 8.175789833068848
Train step=10200, hour=6, Loss = 9.671318054199219
Train step=10300, hour=6, Loss = -2.037184238433838
Train step=10400, hour=6, Loss = 5.363465785980225
Train step=10500, hour=6, Loss = 6.152582168579102
Train step=10600, hour=6, Loss = 2.3937830924987793
Train step=10700, hour=6, Loss = 3.109295606613159
Train step=10800, hour=7, Loss = 8.621540069580078
Train step=10900, hour=7, Loss = 7.8150529861450195
Train step=11000, hour=7, Loss = 7.787212371826172
Train step=11100, hour=7, Loss = 6.876124382019043
Train step=11200, hour=7, Loss = 6.016750335693359
Train step=11300, hour=7, Loss = 4.149377346038818
Train step=11400, hour=7, Loss = 6.714631080627441
Train step=11500, hour=7, Loss = 5.570188999176025
Train step=11600, hour=7, Loss = 4.734076023101807
Train step=11700, hour=7, Loss = 5.363852500915527
Train step=11800, hour=7, Loss = 6.691934585571289
Train step=11900, hour=8, Loss = 9.897223472595215
Train step=12000, hour=8, Loss = 8.510485649108887
Train step=12100, hour=8, Loss = 8.147032737731934
Train step=12200, hour=8, Loss = 8.583564758300781
Train step=12300, hour=8, Loss = 7.824926376342773
Train step=12400, hour=8, Loss = 7.922189235687256
Train step=12500, hour=8, Loss = 9.252717971801758
Train step=12600, hour=8, Loss = 8.022099494934082
Train step=12700, hour=8, Loss = 7.844359397888184
Train step=12800, hour=8, Loss = 7.423746109008789
Train step=12900, hour=8, Loss = 6.6047773361206055
Train step=13000, hour=8, Loss = 7.393576622009277
Train step=13100, hour=8, Loss = 6.548243999481201
Train step=13200, hour=8, Loss = 9.073871612548828
