Train step=100, hour=0, Loss = 3.5611439670901746e-05
Train step=200, hour=0, Loss = 2.035224315477535e-05
Train step=300, hour=0, Loss = 1.3458009561873041e-05
Train step=400, hour=0, Loss = 1.6694239093340002e-05
Train step=500, hour=0, Loss = 1.0662339263944887e-05
Train step=600, hour=0, Loss = 1.033095941238571e-05
Train step=700, hour=0, Loss = 9.859764759312384e-06
Train step=800, hour=0, Loss = 1.1418818758102134e-05
Train step=900, hour=0, Loss = 1.0151758033316582e-05
Train step=1000, hour=0, Loss = 7.60264720156556e-06
Train step=1100, hour=0, Loss = 7.554016065114411e-06
Train step=1200, hour=0, Loss = 8.262767551059369e-06
Train step=1300, hour=0, Loss = 1.5625491869286634e-05
Train step=1400, hour=0, Loss = 1.1036226169380825e-05
Train step=1500, hour=1, Loss = 0.000873955839779228
Train step=1600, hour=1, Loss = 3.781975101446733e-05
Train step=1700, hour=1, Loss = 3.155991726089269e-05
Train step=1800, hour=1, Loss = 1.8931586964754388e-05
Train step=1900, hour=1, Loss = 1.834811337175779e-05
Train step=2000, hour=1, Loss = 1.3955134818388615e-05
Train step=2100, hour=1, Loss = 1.1836143130494747e-05
Train step=2200, hour=1, Loss = 1.033045646181563e-05
Train step=2300, hour=1, Loss = 1.002863427856937e-05
Train step=2400, hour=1, Loss = 9.579651305102743e-06
Train step=2500, hour=1, Loss = 8.506996891810559e-06
Train step=2600, hour=1, Loss = 8.844677722663619e-06
Train step=2700, hour=1, Loss = 8.031827746890485e-06
Train step=2800, hour=1, Loss = 1.2100705134798773e-05
Train step=2900, hour=1, Loss = 8.238312148023397e-06
Train step=3000, hour=1, Loss = 8.277231245301664e-06
Train step=3100, hour=2, Loss = 9.182833309751004e-05
Train step=3200, hour=2, Loss = 1.628913923923392e-05
Train step=3300, hour=2, Loss = 1.411812445439864e-05
Train step=3400, hour=2, Loss = 1.4118443687038962e-05
Train step=3500, hour=2, Loss = 1.3160810340195894e-05
Train step=3600, hour=2, Loss = 1.9457416783552617e-05
Train step=3700, hour=2, Loss = 9.787259841687046e-06
Train step=3800, hour=2, Loss = 9.522644177195616e-06
Train step=3900, hour=2, Loss = 9.384986697114073e-06
Train step=4000, hour=2, Loss = 8.719506695342716e-06
Train step=4100, hour=2, Loss = 8.636916390969418e-06
Train step=4200, hour=2, Loss = 9.281739039579406e-06
Train step=4300, hour=3, Loss = 6.08696136623621e-05
Train step=4400, hour=3, Loss = 1.111422898247838e-05
Train step=4500, hour=3, Loss = 9.104096534429118e-06
Train step=4600, hour=3, Loss = 7.83617542765569e-06
Train step=4700, hour=3, Loss = 7.580458259326406e-06
Train step=4800, hour=3, Loss = 7.597867806907743e-06
Train step=4900, hour=3, Loss = 7.559787718491862e-06
Train step=5000, hour=3, Loss = 7.706355972914025e-06
Train step=5100, hour=3, Loss = 7.2277744038729e-06
Train step=5200, hour=3, Loss = 7.057346010697074e-06
Train step=5300, hour=3, Loss = 6.885716629767558e-06
Train step=5400, hour=3, Loss = 7.003095561231021e-06
Train step=5500, hour=3, Loss = 6.874304744997062e-06
Train step=5600, hour=4, Loss = 0.00030458264518529177
Train step=5700, hour=4, Loss = 2.3182761651696637e-05
