Train step=100, hour=0, Loss = 9.233721357304603e-05
Train step=200, hour=0, Loss = 4.458817420527339e-05
Train step=300, hour=0, Loss = 6.81472010910511e-05
Train step=400, hour=0, Loss = 8.124605665216222e-05
Train step=500, hour=0, Loss = 2.516787026252132e-05
Train step=600, hour=0, Loss = 2.4710090656299144e-05
Train step=700, hour=0, Loss = 2.5705219741212204e-05
Train step=800, hour=0, Loss = 2.0026902348035946e-05
Train step=900, hour=0, Loss = 2.262629641336389e-05
Train step=1000, hour=0, Loss = 1.9851924662361853e-05
Train step=1100, hour=0, Loss = 1.3684908481081948e-05
Train step=1200, hour=1, Loss = 0.00021020969143137336
Train step=1300, hour=1, Loss = 7.411814294755459e-05
Train step=1400, hour=1, Loss = 5.851761670783162e-05
Train step=1500, hour=1, Loss = 4.1766048525460064e-05
Train step=1600, hour=1, Loss = 3.600142372306436e-05
Train step=1700, hour=1, Loss = 2.753833177848719e-05
Train step=1800, hour=1, Loss = 1.6392130419262685e-05
Train step=1900, hour=1, Loss = 1.954356957867276e-05
Train step=2000, hour=1, Loss = 1.9391885871300474e-05
Train step=2100, hour=1, Loss = 1.6351823433069512e-05
Train step=2200, hour=1, Loss = 1.2257446542207617e-05
Train step=2300, hour=2, Loss = 0.00011870723392348737
Train step=2400, hour=2, Loss = 1.429659914720105e-05
Train step=2500, hour=2, Loss = 2.574899554019794e-05
Train step=2600, hour=2, Loss = 9.918339856085368e-06
Train step=2700, hour=2, Loss = 8.956333658716176e-06
Train step=2800, hour=2, Loss = 7.802002983225975e-06
Train step=2900, hour=2, Loss = 7.843233106541447e-06
Train step=3000, hour=2, Loss = 7.432548500219127e-06
Train step=3100, hour=2, Loss = 7.44440512789879e-06
Train step=3200, hour=3, Loss = 0.0013947268016636372
Train step=3300, hour=3, Loss = 7.983615432749502e-06
Train step=3400, hour=3, Loss = 7.454056230926653e-06
Train step=3500, hour=3, Loss = 6.9538155003101565e-06
Train step=3600, hour=3, Loss = 7.101614301063819e-06
Train step=3700, hour=3, Loss = 6.778589522582479e-06
Train step=3800, hour=3, Loss = 6.706938165734755e-06
Train step=3900, hour=3, Loss = 6.6073116613551974e-06
Train step=4000, hour=3, Loss = 6.5970980358542874e-06
Train step=4100, hour=3, Loss = 6.7724186010309495e-06
Train step=4200, hour=4, Loss = 4.279434506315738e-05
Train step=4300, hour=4, Loss = 2.0571205823216587e-05
Train step=4400, hour=4, Loss = 2.480744842614513e-05
Train step=4500, hour=4, Loss = 2.017440965573769e-05
Train step=4600, hour=4, Loss = 1.4953167919884436e-05
Train step=4700, hour=4, Loss = 1.3984484212414827e-05
Train step=4800, hour=4, Loss = 1.1801079381257296e-05
Train step=4900, hour=4, Loss = 1.413698737451341e-05
Train step=5000, hour=4, Loss = 1.301050178881269e-05
Train step=5100, hour=5, Loss = 3.514964919304475e-05
Train step=5200, hour=5, Loss = 7.643118806299753e-06
Train step=5300, hour=5, Loss = 7.545806511188857e-06
Train step=5400, hour=5, Loss = 6.9394882302731276e-06
Train step=5500, hour=5, Loss = 6.9964362410246395e-06
Train step=5600, hour=5, Loss = 6.749774001946207e-06
Train step=5700, hour=5, Loss = 6.751536147930892e-06
Train step=5800, hour=5, Loss = 6.790257884858875e-06
Train step=5900, hour=6, Loss = 1.145806527347304e-05
Train step=6000, hour=6, Loss = 8.125514796120115e-06
Train step=6100, hour=6, Loss = 7.380595889117103e-06
Train step=6200, hour=6, Loss = 7.594593625981361e-06
Train step=6300, hour=6, Loss = 7.228523827507161e-06
Train step=6400, hour=6, Loss = 6.779435352655128e-06
Train step=6500, hour=6, Loss = 6.568815479113255e-06
Train step=6600, hour=6, Loss = 6.574623057531426e-06
Train step=6700, hour=6, Loss = 6.489841325674206e-06
Train step=6800, hour=6, Loss = 6.670333277725149e-06
Train step=6900, hour=6, Loss = 6.4010537244030274e-06
Train step=7000, hour=7, Loss = 0.0001079079374903813
Train step=7100, hour=7, Loss = 2.16888129216386e-05
Train step=7200, hour=7, Loss = 1.1172593985975254e-05
Train step=7300, hour=7, Loss = 9.856681572273374e-06
Train step=7400, hour=7, Loss = 8.927543603931554e-06
Train step=7500, hour=7, Loss = 8.181066732504405e-06
Train step=7600, hour=7, Loss = 8.993575647764374e-06
Train step=7700, hour=7, Loss = 9.10123981157085e-06
Train step=7800, hour=7, Loss = 7.301093319256324e-06
Train step=7900, hour=7, Loss = 7.4438944466237444e-06
Train step=8000, hour=7, Loss = 8.671962859807536e-06
Train step=8100, hour=7, Loss = 7.912033652246464e-06
Train step=8200, hour=8, Loss = 0.00046926224604249
Train step=8300, hour=8, Loss = 1.064688967744587e-05
Train step=8400, hour=8, Loss = 8.961938874563202e-06
Train step=8500, hour=8, Loss = 7.657242349523585e-06
Train step=8600, hour=8, Loss = 7.239148544613272e-06
Train step=8700, hour=8, Loss = 7.0081155172374565e-06
Train step=8800, hour=8, Loss = 7.514426215493586e-06
Train step=8900, hour=8, Loss = 7.556280706921825e-06
Train step=9000, hour=8, Loss = 6.726175342919305e-06
Train step=9100, hour=8, Loss = 6.919720362930093e-06
Train step=9200, hour=8, Loss = 7.396942237392068e-06
Train step=9300, hour=9, Loss = 3.245221159886569e-05
Train step=9400, hour=9, Loss = 7.889406333561055e-06
Train step=9500, hour=9, Loss = 7.1964013841352426e-06
Train step=9600, hour=9, Loss = 7.385323442576919e-06
Train step=9700, hour=9, Loss = 7.342161552514881e-06
Train step=9800, hour=9, Loss = 7.099113645381294e-06
Train step=9900, hour=9, Loss = 7.315910352190258e-06
Train step=10000, hour=9, Loss = 6.842256880190689e-06
Train step=10100, hour=9, Loss = 6.799446964578237e-06
Train step=10200, hour=9, Loss = 6.572550773853436e-06
Train step=10300, hour=10, Loss = 6.919490260770544e-05
Train step=10400, hour=10, Loss = 3.4523418435128406e-05
Train step=10500, hour=10, Loss = 1.6287940525216982e-05
Train step=10600, hour=10, Loss = 1.3702236174140126e-05
Train step=10700, hour=10, Loss = 1.7818689229898155e-05
Train step=10800, hour=10, Loss = 1.0941984328383114e-05
Train step=10900, hour=10, Loss = 1.3939200471213553e-05
Train step=11000, hour=10, Loss = 9.204211892210878e-06
Train step=11100, hour=10, Loss = 1.2415091987350024e-05
Train step=11200, hour=10, Loss = 9.014542229124345e-06
Train step=11300, hour=11, Loss = 0.00042244832729920745
Train step=11400, hour=11, Loss = 1.9607556168921292e-05
Train step=11500, hour=11, Loss = 1.647527278691996e-05
Train step=11600, hour=11, Loss = 1.0119596481672488e-05
Train step=11700, hour=11, Loss = 1.1760326742660254e-05
Train step=11800, hour=11, Loss = 9.337740266346373e-06
Train step=11900, hour=11, Loss = 9.224402674590237e-06
Train step=12000, hour=11, Loss = 7.691009159316309e-06
Train step=12100, hour=11, Loss = 8.773769877734594e-06
Train step=12200, hour=11, Loss = 7.290197117981734e-06
Train step=12300, hour=11, Loss = 1.051877552527003e-05
Train step=12400, hour=12, Loss = 2.8221826141816564e-05
Train step=12500, hour=12, Loss = 1.5476432963623665e-05
Train step=12600, hour=12, Loss = 1.0695866876631044e-05
